,order_id,customer_id,product_id,order_date,quantity,amount,order_status,quantity_numeric,customer_match_status,product_status_match,test_date_clean,test_date_status,clean_amount,row_id,amount_status,reject_reason
4952,ORD00057728,CUST003625,PROD0020,2021-09-08,,47592.58,Delivered,,Matched,matched,2021-09-08,valid,47592.58,4952,matched,INVALID_QUANTITY
5193,ORD00089764,CUST006931,PROD0038,2022-05-27,-5,99216.6,Cancelled,-5.0,Matched,matched,2022-05-27,valid,99216.6,5193,matched,INVALID_QUANTITY
5220,ORD00084647,CUST008333,PROD0076,2025-08-27,2,1384.04,delivered,2.0,Matched,matched,2025-08-27,valid,2516.44,5220,Mismatched,INVALID_AMOUNT
5274,ORD00024238,CUST010796,PROD0013,2022-08-03,-5,20204.74,Cancelled,-5.0,Matched,matched,2022-08-03,valid,20204.74,5274,matched,INVALID_QUANTITY
5331,ORD00067146,CUST003631,PROD0046,2025-12-24,2,5371.5,delivered,2.0,Matched,matched,2025-12-24,valid,9766.36,5331,Mismatched,INVALID_AMOUNT
5519,ORD00048813,CUST012943,PROD0091,2025-09-20,,395.84,Delivered,,Matched,matched,2025-09-20,valid,395.84,5519,matched,INVALID_QUANTITY
5563,ORD00090235,CUST007726,PROD0003,2025-12-08,0,227153.45,Pending,0.0,Matched,matched,2025-12-08,valid,227153.45,5563,matched,INVALID_QUANTITY
5607,ORD00029878,CUST008136,PROD0071,2025-01-14,0,1798.22,Shipped,0.0,Matched,matched,2025-01-14,valid,1798.22,5607,matched,INVALID_QUANTITY
5666,ORD00089236,CUST003766,PROD0042,2024-04-26,3,9919.95,delivered,3.0,Matched,matched,2024-04-26,valid,13527.21,5666,Mismatched,INVALID_AMOUNT
5711,ORD00000911,CUST003125,PROD0089,2024-02-28,4,11544.13,delivered,4.0,Matched,matched,2024-02-28,valid,13992.88,5711,Mismatched,INVALID_AMOUNT
5803,ORD00021172,CUST009822,PROD0094,2022-10-06,-5,1055.1,Shipped,-5.0,Matched,matched,2022-10-06,valid,1055.1,5803,matched,INVALID_QUANTITY
5828,ORD00025130,CUST013344,PROD0014,2024-06-24,-1,32702.37,Delivered,-1.0,Matched,matched,2024-06-24,valid,32702.37,5828,matched,INVALID_QUANTITY
5929,ORD00004600,CUST001574,PROD0020,2022-12-08,0,47592.58,Returned,0.0,Matched,matched,2022-12-08,valid,47592.58,5929,matched,INVALID_QUANTITY
5978,ORD00072737,CUST012225,PROD0063,2025-08-29,-1,1957.06,Delivered,-1.0,Matched,matched,2025-08-29,valid,1957.06,5978,matched,INVALID_QUANTITY
6030,ORD00011296,CUST016580,PROD0032,2023-08-21,-1,9411.66,Delivered,-1.0,Matched,matched,2023-08-21,valid,9411.66,6030,matched,INVALID_QUANTITY
6470,ORD00084750,CUST006663,PROD0091,2023-12-21,abc,197.92,Delivered,,Matched,matched,2023-12-21,valid,197.92,6470,matched,INVALID_QUANTITY
6521,ORD00030820,CUST013852,PROD0030,2025-11-01,,78144.68,Delivered,,Matched,matched,2025-11-01,valid,78144.68,6521,matched,INVALID_QUANTITY
6572,ORD00097480,CUST001676,PROD0038,2025-08-29,0,19843.32,Delivered,0.0,Matched,matched,2025-08-29,valid,19843.32,6572,matched,INVALID_QUANTITY
6965,ORD00004072,CUST005792,PROD0068,2023-01-19,4,21175.24,delivered,4.0,Matched,matched,2023-01-19,valid,25666.96,6965,Mismatched,INVALID_AMOUNT
7038,ORD00079743,CUST011724,PROD0051,2025-09-04,7,44163.83,delivered,7.0,Matched,matched,2025-09-04,valid,46840.43,7038,Mismatched,INVALID_AMOUNT
7054,ORD00022152,CUST002244,PROD0071,2023-02-21,-1,1798.22,Delivered,-1.0,Matched,matched,2023-02-21,valid,1798.22,7054,matched,INVALID_QUANTITY
7104,ORD00027954,CUST002268,PROD0082,2025-05-28,0,1697.27,Cancelled,0.0,Matched,matched,2025-05-28,valid,1697.27,7104,matched,INVALID_QUANTITY
7373,ORD00074513,CUST000372,PROD0075,2025-04-24,abc,3383.85,Delivered,,Matched,matched,2025-04-24,valid,3383.85,7373,matched,INVALID_QUANTITY
7446,ORD00079226,CUST018771,PROD0022,2025-09-05,-2,45204.1,Delivered,-2.0,Matched,matched,2025-09-05,valid,45204.1,7446,matched,INVALID_QUANTITY
7506,ORD00071967,CUST003611,PROD0045,2024-07-28,abc,6165.15,Cancelled,,Matched,matched,2024-07-28,valid,6165.15,7506,matched,INVALID_QUANTITY
7555,ORD00018977,CUST012366,PROD0049,2025-08-24,-2,71261.0,Delivered,-2.0,Matched,matched,2025-08-24,valid,71261.0,7555,matched,INVALID_QUANTITY
7597,ORD00098627,CUST006942,PROD0076,2023-11-06,9,11072.34,delivered,9.0,Matched,matched,2023-11-06,valid,11323.98,7597,Mismatched,INVALID_AMOUNT
7643,ORD00008290,CUST018127,PROD0003,2024-07-21,-2,181722.76,Delivered,-2.0,Matched,matched,2024-07-21,valid,181722.76,7643,matched,INVALID_QUANTITY
7654,ORD00047900,CUST015212,PROD0071,2022-12-16,4,5934.13,delivered,4.0,Matched,matched,2022-12-16,valid,7192.88,7654,Mismatched,INVALID_AMOUNT
7776,ORD00015538,CUST002314,PROD0100,2022-06-04,4,1275.15,delivered,4.0,Matched,matched,2022-06-04,valid,1545.64,7776,Mismatched,INVALID_AMOUNT
7837,ORD00056518,CUST009378,PROD0028,2024-06-03,-1,16100.59,Shipped,-1.0,Matched,matched,2024-06-03,valid,16100.59,7837,matched,INVALID_QUANTITY
7961,ORD00065290,CUST008870,PROD0037,2022-09-07,-2,107397.36,Delivered,-2.0,Matched,matched,2022-09-07,valid,107397.36,7961,matched,INVALID_QUANTITY
8255,ORD00038361,CUST018319,PROD0069,2025-12-28,-2,6975.53,Pending,-2.0,Matched,matched,2025-12-28,valid,6975.53,8255,matched,INVALID_QUANTITY
8562,ORD00041123,CUST011373,PROD0063,2025-04-12,11,21527.66,cancelled,11.0,Matched,matched,2025-04-12,valid,21527.66,8562,matched,INVALID_QUANTITY
8877,ORD00022990,CUST019629,PROD0029,2025-08-17,0,12766.47,Delivered,0.0,Matched,matched,2025-08-17,valid,12766.47,8877,matched,INVALID_QUANTITY
9069,ORD00052791,CUST001223,PROD0089,2022-03-31,3,7696.08,delivered,3.0,Matched,matched,2022-03-31,valid,10494.66,9069,Mismatched,INVALID_AMOUNT
9736,ORD00052427,CUST013021,PROD0019,2025-08-31,-5,128783.04,Delivered,-5.0,Matched,matched,2025-08-31,valid,128783.04,9736,matched,INVALID_QUANTITY
10045,ORD00090530,CUST007948,PROD0077,2022-08-13,,1675.17,Shipped,,Matched,matched,2022-08-13,valid,1675.17,10045,matched,INVALID_QUANTITY
10134,ORD00097648,CUST017394,PROD0095,2025-10-22,0,3579.48,Delivered,0.0,Matched,matched,2025-10-22,valid,3579.48,10134,matched,INVALID_QUANTITY
10135,ORD00026074,CUST012842,PROD0024,2025-05-16,,8845.39,Delivered,,Matched,matched,2025-05-16,valid,8845.39,10135,matched,INVALID_QUANTITY
10536,ORD00072268,CUST008165,PROD0009,2024-11-02,abc,7099.62,Pending,,Matched,matched,2024-11-02,valid,7099.62,10536,matched,INVALID_QUANTITY
10630,ORD00078713,CUST004113,PROD0089,2025-03-08,-2,3498.22,Cancelled,-2.0,Matched,matched,2025-03-08,valid,3498.22,10630,matched,INVALID_QUANTITY
11122,ORD00058028,CUST017205,PROD0057,2024-10-10,0,4503.51,Returned,0.0,Matched,matched,2024-10-10,valid,4503.51,11122,matched,INVALID_QUANTITY
11310,ORD00011743,CUST014661,PROD0029,2022-11-21,3,28086.23,delivered,3.0,Matched,matched,2022-11-21,valid,38299.409999999996,11310,Mismatched,INVALID_AMOUNT
11364,ORD00039592,CUST010850,PROD0045,2024-05-20,4,4069.0,pending,4.0,Matched,matched,2024-05-20,valid,4932.12,11364,Mismatched,INVALID_AMOUNT
11478,ORD00007471,CUST003692,PROD0062,2022-10-19,abc,1454.85,Delivered,,Matched,matched,2022-10-19,valid,1454.85,11478,matched,INVALID_QUANTITY
11493,ORD00031289,CUST004565,PROD0044,2022-02-07,-2,13273.52,Delivered,-2.0,Matched,matched,2022-02-07,valid,13273.52,11493,matched,INVALID_QUANTITY
11788,ORD00033539,CUST015906,PROD0074,2024-11-05,-1,838.22,Delivered,-1.0,Matched,matched,2024-11-05,valid,838.22,11788,matched,INVALID_QUANTITY
11887,ORD00065306,CUST011922,PROD0057,2025-05-16,,6004.68,Pending,,Matched,matched,2025-05-16,valid,6004.68,11887,matched,INVALID_QUANTITY
12138,ORD00094126,CUST017200,PROD0070,2025-08-02,3,20999.84,cancelled,3.0,Matched,matched,2025-08-02,valid,28636.14,12138,Mismatched,INVALID_AMOUNT
12385,ORD00041973,CUST019880,PROD0034,2023-12-07,0,56306.7,Delivered,0.0,Matched,matched,2023-12-07,valid,56306.7,12385,matched,INVALID_QUANTITY
12686,ORD00063858,CUST011602,PROD0085,2023-08-18,-1,4283.72,Delivered,-1.0,Matched,matched,2023-08-18,valid,4283.72,12686,matched,INVALID_QUANTITY
12703,ORD00046221,CUST013687,PROD0056,2025-06-15,3,7420.09,delivered,3.0,Matched,matched,2025-06-15,valid,10118.31,12703,Mismatched,INVALID_AMOUNT
12857,ORD00072817,CUST003223,PROD0049,2025-04-29,-2,14252.2,Cancelled,-2.0,Matched,matched,2025-04-29,valid,14252.2,12857,matched,INVALID_QUANTITY
13044,ORD00087611,CUST012813,PROD0023,2024-02-05,6,11321.42,delivered,6.0,Matched,matched,2024-02-05,valid,12350.64,13044,Mismatched,INVALID_AMOUNT
13046,ORD00098561,CUST004797,PROD0045,2023-07-25,-1,7398.18,Returned,-1.0,Matched,matched,2023-07-25,valid,7398.18,13046,matched,INVALID_QUANTITY
13047,ORD00068706,CUST008269,PROD0080,2022-08-06,-1,555.8,Delivered,-1.0,Matched,matched,2022-08-06,valid,555.8,13047,matched,INVALID_QUANTITY
13445,ORD00071126,CUST006042,PROD0092,2024-04-01,abc,14297.32,Delivered,,Matched,matched,2024-04-01,valid,14297.32,13445,matched,INVALID_QUANTITY
13454,ORD00081369,CUST014401,PROD0043,2023-11-28,abc,270.98,Delivered,,Matched,matched,2023-11-28,valid,270.98,13454,matched,INVALID_QUANTITY
13620,ORD00077310,CUST004722,PROD0089,2025-01-11,abc,6996.44,Delivered,,Matched,matched,2025-01-11,valid,6996.44,13620,matched,INVALID_QUANTITY
13706,ORD00024623,CUST019607,PROD0004,2021-08-20,0,108191.97,Shipped,0.0,Matched,matched,2021-08-20,valid,108191.97,13706,matched,INVALID_QUANTITY
13943,ORD00078361,CUST000632,PROD0077,2023-08-31,3,1228.46,pending,3.0,Matched,matched,2023-08-31,valid,1675.17,13943,Mismatched,INVALID_AMOUNT
14140,ORD00030488,CUST019158,PROD0051,2025-10-23,0,6691.49,Delivered,0.0,Matched,matched,2025-10-23,valid,6691.49,14140,matched,INVALID_QUANTITY
14196,ORD00028324,CUST002091,PROD0100,2024-05-22,-1,386.41,Delivered,-1.0,Matched,matched,2024-05-22,valid,386.41,14196,matched,INVALID_QUANTITY
14378,ORD00081728,CUST008517,PROD0033,2025-03-14,-5,38529.98,Delivered,-5.0,Matched,matched,2025-03-14,valid,38529.98,14378,matched,INVALID_QUANTITY
14470,ORD00062497,CUST011025,PROD0090,2025-11-22,abc,14713.74,Returned,,Matched,matched,2025-11-22,valid,14713.74,14470,matched,INVALID_QUANTITY
14474,ORD00044303,CUST011627,PROD0030,2025-11-15,abc,19536.17,Pending,,Matched,matched,2025-11-15,valid,19536.17,14474,matched,INVALID_QUANTITY
14492,ORD00021685,CUST015589,PROD0026,2022-03-08,-1,21672.82,Delivered,-1.0,Matched,matched,2022-03-08,valid,21672.82,14492,matched,INVALID_QUANTITY
14510,ORD00051201,CUST018114,PROD0055,2022-09-12,-2,710.95,Returned,-2.0,Matched,matched,2022-09-12,valid,710.95,14510,matched,INVALID_QUANTITY
14573,ORD00074815,CUST017739,PROD0071,2025-09-17,,7192.88,Delivered,,Matched,matched,2025-09-17,valid,7192.88,14573,matched,INVALID_QUANTITY
14687,ORD00068478,CUST006470,PROD0025,2025-07-11,-5,53446.65,Shipped,-5.0,Matched,matched,2025-07-11,valid,53446.65,14687,matched,INVALID_QUANTITY
14695,ORD00094430,CUST017349,PROD0039,2025-01-25,2,4915.31,pending,2.0,Matched,matched,2025-01-25,valid,8936.92,14695,Mismatched,INVALID_AMOUNT
14706,ORD00054256,CUST009802,PROD0039,2025-10-25,-2,4468.46,Delivered,-2.0,Matched,matched,2025-10-25,valid,4468.46,14706,matched,INVALID_QUANTITY
14778,ORD00053076,CUST006196,PROD0049,2025-06-28,2,7838.71,delivered,2.0,Matched,matched,2025-06-28,valid,14252.2,14778,Mismatched,INVALID_AMOUNT
14808,ORD00054260,CUST018559,PROD0032,2025-06-20,,9411.66,Shipped,,Matched,matched,2025-06-20,valid,9411.66,14808,matched,INVALID_QUANTITY
14911,ORD00007400,CUST017806,PROD0042,2025-09-28,0,9018.14,Delivered,0.0,Matched,matched,2025-09-28,valid,9018.14,14911,matched,INVALID_QUANTITY
15084,ORD00056298,CUST002982,PROD0006,2024-11-10,0,33376.62,Delivered,0.0,Matched,matched,2024-11-10,valid,33376.62,15084,matched,INVALID_QUANTITY
15295,ORD00035391,CUST013607,PROD0080,2025-02-03,2,611.38,shipped,2.0,Matched,matched,2025-02-03,valid,1111.6,15295,Mismatched,INVALID_AMOUNT
15510,ORD00040919,CUST003315,PROD0091,2025-06-20,3,435.42,delivered,3.0,Matched,matched,2025-06-20,valid,593.76,15510,Mismatched,INVALID_AMOUNT
15511,ORD00079762,CUST002310,PROD0006,2025-10-18,-2,33376.62,Cancelled,-2.0,Matched,matched,2025-10-18,valid,33376.62,15511,matched,INVALID_QUANTITY
15513,ORD00093380,CUST006094,PROD0023,2025-10-08,0,4116.88,Pending,0.0,Matched,matched,2025-10-08,valid,4116.88,15513,matched,INVALID_QUANTITY
15889,ORD00004903,CUST015714,PROD0048,2025-06-06,-2,2437.14,Shipped,-2.0,Matched,matched,2025-06-06,valid,2437.14,15889,matched,INVALID_QUANTITY
15939,ORD00025156,CUST006989,PROD0004,2025-05-29,2,39670.39,delivered,2.0,Matched,matched,2025-05-29,valid,72127.98,15939,Mismatched,INVALID_AMOUNT
16090,ORD00095152,CUST007495,PROD0075,2023-10-02,0,1127.95,Shipped,0.0,Matched,matched,2023-10-02,valid,1127.95,16090,matched,INVALID_QUANTITY
16150,ORD00033538,CUST014812,PROD0029,2025-10-09,3,28086.23,delivered,3.0,Matched,matched,2025-10-09,valid,38299.409999999996,16150,Mismatched,INVALID_AMOUNT
16297,ORD00046540,CUST003835,PROD0091,2024-09-12,-5,197.92,Delivered,-5.0,Matched,matched,2024-09-12,valid,197.92,16297,matched,INVALID_QUANTITY
16445,ORD00049772,CUST018871,PROD0053,2024-12-31,,48864.1,Delivered,,Matched,matched,2024-12-31,valid,48864.1,16445,matched,INVALID_QUANTITY
16474,ORD00071083,CUST014741,PROD0097,2025-11-28,,268.6,Pending,,Matched,matched,2025-11-28,valid,268.6,16474,matched,INVALID_QUANTITY
16826,ORD00021911,CUST006865,PROD0054,2025-09-14,-2,851.85,Delivered,-2.0,Matched,matched,2025-09-14,valid,851.85,16826,matched,INVALID_QUANTITY
17208,ORD00053371,CUST006955,PROD0007,2025-12-10,-1,61518.54,Delivered,-1.0,Matched,matched,2025-12-10,valid,61518.54,17208,matched,INVALID_QUANTITY
17275,ORD00080425,CUST011056,PROD0066,2024-01-15,0,7031.04,Delivered,0.0,Matched,matched,2024-01-15,valid,7031.04,17275,matched,INVALID_QUANTITY
17538,ORD00080153,CUST012328,PROD0020,2024-12-07,2,52351.84,delivered,2.0,Matched,matched,2024-12-07,valid,95185.16,17538,Mismatched,INVALID_AMOUNT
17618,ORD00009189,CUST008372,PROD0046,2025-06-26,-5,9766.36,Delivered,-5.0,Matched,matched,2025-06-26,valid,9766.36,17618,matched,INVALID_QUANTITY
17705,ORD00060249,CUST015178,PROD0040,2025-11-22,,5253.96,Delivered,,Matched,matched,2025-11-22,valid,5253.96,17705,matched,INVALID_QUANTITY
18013,ORD00028881,CUST008233,PROD0080,2025-11-11,,555.8,Pending,,Matched,matched,2025-11-11,valid,555.8,18013,matched,INVALID_QUANTITY
18092,ORD00070247,CUST016688,PROD0090,2024-12-28,0,14713.74,Delivered,0.0,Matched,matched,2024-12-28,valid,14713.74,18092,matched,INVALID_QUANTITY
18405,ORD00068503,CUST002401,PROD0095,2022-09-22,abc,8948.7,Delivered,,Matched,matched,2022-09-22,valid,8948.7,18405,matched,INVALID_QUANTITY
18550,ORD00060382,CUST005993,PROD0058,2025-08-02,-1,4096.66,Delivered,-1.0,Matched,matched,2025-08-02,valid,4096.66,18550,matched,INVALID_QUANTITY
18582,ORD00005118,CUST015710,PROD0050,2023-02-21,2,4387.74,delivered,2.0,Matched,matched,2023-02-21,valid,7977.7,18582,Mismatched,INVALID_AMOUNT
18726,ORD00019394,CUST001076,PROD0018,2024-02-09,-2,22211.07,Delivered,-2.0,Matched,matched,2024-02-09,valid,22211.07,18726,matched,INVALID_QUANTITY
19215,ORD00013974,CUST009182,PROD0097,2025-01-29,abc,268.6,Cancelled,,Matched,matched,2025-01-29,valid,268.6,19215,matched,INVALID_QUANTITY
19272,ORD00051248,CUST002606,PROD0034,2024-12-20,abc,18768.9,Delivered,,Matched,matched,2024-12-20,valid,18768.9,19272,matched,INVALID_QUANTITY
19388,ORD00090573,CUST016355,PROD0053,2022-04-20,-1,9772.82,Delivered,-1.0,Matched,matched,2022-04-20,valid,9772.82,19388,matched,INVALID_QUANTITY
19526,ORD00034672,CUST008534,PROD0099,2025-12-20,0,919.17,Pending,0.0,Matched,matched,2025-12-20,valid,919.17,19526,matched,INVALID_QUANTITY
19572,ORD00064372,CUST005176,PROD0036,2025-03-04,abc,7562.38,Cancelled,,Matched,matched,2025-03-04,valid,7562.38,19572,matched,INVALID_QUANTITY
19626,ORD00054247,CUST016886,PROD0015,2025-10-12,4,98589.18,delivered,4.0,Matched,matched,2025-10-12,valid,119502.04,19626,Mismatched,INVALID_AMOUNT
19694,ORD00066404,CUST009789,PROD0037,2025-09-22,,17899.56,Delivered,,Matched,matched,2025-09-22,valid,17899.56,19694,matched,INVALID_QUANTITY
19858,ORD00054935,CUST008494,PROD0026,2025-06-06,0,65018.46,Delivered,0.0,Matched,matched,2025-06-06,valid,65018.46,19858,matched,INVALID_QUANTITY
20058,ORD00064190,CUST009786,PROD0096,2025-05-21,-5,6039.18,Delivered,-5.0,Matched,matched,2025-05-21,valid,6039.18,20058,matched,INVALID_QUANTITY
20273,ORD00088856,CUST010170,PROD0081,2022-07-17,4,3265.05,delivered,4.0,Matched,matched,2022-07-17,valid,3957.64,20273,Mismatched,INVALID_AMOUNT
20443,ORD00064683,CUST009698,PROD0021,2023-03-18,-2,24567.6,Delivered,-2.0,Matched,matched,2023-03-18,valid,24567.6,20443,matched,INVALID_QUANTITY
20867,ORD00063640,CUST001410,PROD0085,2025-08-02,2,4712.09,delivered,2.0,Matched,matched,2025-08-02,valid,8567.44,20867,Mismatched,INVALID_AMOUNT
20932,ORD00009140,CUST015478,PROD0021,2025-09-23,0,12283.8,Delivered,0.0,Matched,matched,2025-09-23,valid,12283.8,20932,matched,INVALID_QUANTITY
21052,ORD00064756,CUST003915,PROD0052,2024-02-10,-2,8736.62,Delivered,-2.0,Matched,matched,2024-02-10,valid,8736.62,21052,matched,INVALID_QUANTITY
21219,ORD00092957,CUST005119,PROD0042,2024-05-18,-5,4509.07,Returned,-5.0,Matched,matched,2024-05-18,valid,4509.07,21219,matched,INVALID_QUANTITY
21242,ORD00079971,CUST006331,PROD0019,2023-07-25,-2,42927.68,Delivered,-2.0,Matched,matched,2023-07-25,valid,42927.68,21242,matched,INVALID_QUANTITY
21328,ORD00043548,CUST016221,PROD0078,2024-06-01,2,93.18,delivered,2.0,Matched,matched,2024-06-01,valid,169.42,21328,Mismatched,INVALID_AMOUNT
21396,ORD00083566,CUST009235,PROD0018,2024-08-07,-2,66633.21,Delivered,-2.0,Matched,matched,2024-08-07,valid,66633.21,21396,matched,INVALID_QUANTITY
21705,ORD00032657,CUST007907,PROD0078,2024-07-12,abc,84.71,Delivered,,Matched,matched,2024-07-12,valid,84.71,21705,matched,INVALID_QUANTITY
21982,ORD00095069,CUST015611,PROD0012,2022-09-20,-1,47366.35,Delivered,-1.0,Matched,matched,2022-09-20,valid,47366.35,21982,matched,INVALID_QUANTITY
22083,ORD00030505,CUST009893,PROD0011,2024-11-08,3,18915.07,delivered,3.0,Matched,matched,2024-11-08,valid,25793.28,22083,Mismatched,INVALID_AMOUNT
22195,ORD00034971,CUST007708,PROD0079,2022-02-06,-5,2530.2,Delivered,-5.0,Matched,matched,2022-02-06,valid,2530.2,22195,matched,INVALID_QUANTITY
22328,ORD00004153,CUST011548,PROD0060,2024-02-13,,566.88,Delivered,,Matched,matched,2024-02-13,valid,566.88,22328,matched,INVALID_QUANTITY
22340,ORD00061045,CUST011054,PROD0006,2025-03-23,2,36714.28,cancelled,2.0,Matched,matched,2025-03-23,valid,66753.24,22340,Mismatched,INVALID_AMOUNT
22569,ORD00097948,CUST000344,PROD0027,2025-06-06,3,17764.91,returned,3.0,Matched,matched,2025-06-06,valid,24224.88,22569,Mismatched,INVALID_AMOUNT
22710,ORD00044074,CUST004412,PROD0023,2023-12-06,4,6792.85,delivered,4.0,Matched,matched,2023-12-06,valid,8233.76,22710,Mismatched,INVALID_AMOUNT
23037,ORD00027002,CUST014403,PROD0098,2025-12-01,-1,2511.08,Delivered,-1.0,Matched,matched,2025-12-01,valid,2511.08,23037,matched,INVALID_QUANTITY
23043,ORD00039876,CUST018710,PROD0089,2024-01-14,abc,6996.44,Delivered,,Matched,matched,2024-01-14,valid,6996.44,23043,matched,INVALID_QUANTITY
23216,ORD00031650,CUST019108,PROD0048,2025-08-20,,2437.14,Shipped,,Matched,matched,2025-08-20,valid,2437.14,23216,matched,INVALID_QUANTITY
23392,ORD00002952,CUST019427,PROD0057,2024-06-29,2,1651.29,returned,2.0,Matched,matched,2024-06-29,valid,3002.34,23392,Mismatched,INVALID_AMOUNT
23538,ORD00089675,CUST002447,PROD0037,2023-07-19,3,39379.03,cancelled,3.0,Matched,matched,2023-07-19,valid,53698.68000000001,23538,Mismatched,INVALID_AMOUNT
23625,ORD00090430,CUST001147,PROD0099,2025-11-27,,1225.56,Delivered,,Matched,matched,2025-11-27,valid,1225.56,23625,matched,INVALID_QUANTITY
23763,ORD00003695,CUST015801,PROD0021,2023-02-01,3,27024.36,shipped,3.0,Matched,matched,2023-02-01,valid,36851.399999999994,23763,Mismatched,INVALID_AMOUNT
24000,ORD00092367,CUST018190,PROD0069,2024-08-08,-1,27902.12,Delivered,-1.0,Matched,matched,2024-08-08,valid,27902.12,24000,matched,INVALID_QUANTITY
